wdid,name,wdLabel,source,sourceDate,pid,position,psid
Q17712353,Nayib Bukele,Nayib Bukele,,,Q878151,President of El Salvador,Q17712353-11132b04-4ba4-cead-5d0c-1da0c780b282
Q56204375,Enrique Hoyos,Enrique Hoyos,,,Q56457352,Minister of Foreign Affairs of El Salvador,Q56204375-0cf3600f-4e42-647b-dd78-331aa09774c6
Q5904891,Humberto Corado Figueroa,Humberto Corado Figueroa,https://www.diariooficial.gob.sv/diarios/do-1993/07-julio/julio-1993_Parte65.pdf,,Q67054651,Minister of National Defense,Q5904891-4e9dc0a0-4b0c-d338-ab0d-24088cd2553f
Q59315785,Gregorio Arbizú,Gregorio Arbizú,http://abaco.uca.edu.sv/acervo/Diario_Oficial/1863%20falta%20oct/1863-11.pdf,,Q56457352,Minister of Foreign Affairs of El Salvador,Q59315785-1686a897-4b72-d1cf-168a-3c8d9e846220
Q59315871,Manuel Cáceres,Manuel Cáceres,http://abaco.uca.edu.sv/acervo/Diario_Oficial/1872%20falta%20feb%20mar/1872-12.pdf,,Q56457352,Minister of Foreign Affairs of El Salvador,Q59315871-2e6b8051-4893-6193-4e08-045b2a628e60
Q60141835,Manuel Irungaray,Manuel Irungaray,http://abaco.uca.edu.sv/acervo/Diario_Oficial/1859/1859-02.pdf,,Q56457352,Minister of Foreign Affairs of El Salvador,Q60141835-d29b0e65-49f9-7831-b05f-84a728558d65
Q61722317,Valerio Irungaray,Valerio Irungaray,http://abaco.uca.edu.sv/acervo/Diario_Oficial/1859/1859-02.pdf,,Q61722320,Minister of Governance of El Salvador,Q61722317-56d771c3-46b1-b68d-8a60-df408e9403f0
Q63226662,Juan José Bonilla,Juan José Bonilla,,,Q61722320,Minister of Governance of El Salvador,Q63226662-727ce66a-4280-1b0c-6544-a88dbe7d45f5
Q67054108,René Francis Merino Monroy,René Francis Merino Monroy,https://www.diariooficial.gob.sv/diarios/do-2019/06-junio/01-06-2019.pdf,,Q67054651,Minister of National Defense,Q67054108-a19c7899-4d2f-c63c-8624-d90c64a2c0b5
Q67055444,Juana Alexandra Hill Tinoco,Juana Alexandra Hill Tinoco,https://www.diariooficial.gob.sv/diarios/do-2019/06-junio/01-06-2019.pdf,,Q56457352,Minister of Foreign Affairs of El Salvador,Q67055444-526e9624-4eba-1e84-b79a-3be639d25ba7
Q67056339,Mario Edgardo Durán Gavidia,Mario Edgardo Durán Gavidia,,,Q61722320,Minister of Governance of El Salvador,Q67056339-c029f25e-45d9-5dc3-bb7f-8e8049e56c5f
Q67056921,Rogelio Eduardo Rivas Polanco,Rogelio Eduardo Rivas Polanco,https://www.diariooficial.gob.sv/diarios/do-2019/06-junio/01-06-2019.pdf,,Q67056742,Minister of Justice and Public Security,Q67056921-f22c9f36-4ea4-c9e1-8e82-a96bde9e268f
